User ID,Logout Date,Event time,Active Duration,Event 1,Event 2,Event 3
288393,13/01/2022,12:28,160,16,41,34
345789,24/01/2022,10:58,280,89,38,77
123421,25/01/2022,11:26,780,1,90,41
239010,31/01/2022,19:59,34,13,40,100
678901,4/2/2022,21:34,99,66,65,89
288393,12/5/2022,19:09,100,29,11,11
345789,31/05/2022,17:08,34,82,16,8
123421,8/7/2022,16:31,99,48,33,9
288393,14/07/2022,12:18,100,86,13,33
345789,1/8/2022,15:36,76,42,88,72
123421,9/8/2022,20:14,280,91,73,53
288393,24/08/2022,10:32,780,22,35,79
345789,10/9/2022,11:29,66,44,80,65
123421,14/09/2022,13:06,280,30,12,26
345789,30/09/2022,14:33,780,74,57,81
123421,5/10/2022,9:01,34,80,42,39
239010,10/10/2022,9:21,99,57,29,47
678901,20/10/2022,19:11,100,98,9,62
288393,30/10/2022,13:31,34,40,53,95
345789,4/11/2022,15:48,99,58,2,68
123421,11/12/2022,12:28,100,81,6,38
288393,15/12/2022,14:21,34,64,58,85
345789,22/12/2022,17:18,99,62,4,44
678901,26/12/2022,10:30,100,31,95,6
288393,28/12/2022,18:04,63,3,87,42
345789,10/1/2022,12:36,280,97,5,98
123421,20/01/2022,21:48,780,6,91,82
288393,28/01/2022,10:18,6,50,17,66
345789,30/01/2022,13:31,88,84,50,43
123421,6/2/2022,13:30,78,26,3,31
288393,20/02/2022,19:29,90,2,82,27
345789,26/02/2022,10:30,6,59,31,10
123421,4/3/2022,13:19,3,75,8,49
345789,6/3/2022,20:46,12,79,62,13
123421,8/3/2022,19:37,34,54,24,86
239010,13/03/2022,14:59,77,19,79,5
678901,16/04/2022,21:20,99,56,93,14
288393,22/06/2022,20:55,19,68,1,28
345789,1/7/2022,10:01,90,65,92,64
123421,10/7/2022,17:28,78,37,96,87
288393,31/08/2022,8:03,88,8,32,61
345789,17/09/2022,18:40,780,14,83,30
678901,24/09/2022,8:16,34,33,60,19
288393,2/10/2022,11:05,99,18,28,20
345789,3/10/2022,17:26,100,72,14,70
123421,5/11/2022,17:50,34,93,7,83
288393,15/11/2022,20:41,99,24,49,52
288393,18/11/2022,11:31,100,78,37,88
345789,27/11/2022,19:54,76,45,51,73
123421,16/12/2022,21:13,280,17,34,36
288393,21/01/2022,18:51,780,25,78,67
345789,11/2/2022,16:26,66,83,39,76
123421,3/3/2022,21:46,280,39,68,40
288393,11/3/2022,16:31,780,94,47,21
345789,19/04/2022,11:25,34,99,26,94
123421,25/04/2022,11:22,99,55,81,55
345789,21/05/2022,16:10,100,34,46,45
123421,31/05/2022,16:53,34,95,74,25
239010,7/6/2022,8:24,99,92,71,84
678901,8/6/2022,18:25,100,11,64,35
288393,6/7/2022,20:17,99,15,86,78
345789,7/7/2022,17:03,100,100,18,59
123421,7/8/2022,12:19,34,53,63,92
345789,10/8/2022,10:10,99,47,27,97
123421,6/9/2022,20:02,100,49,52,29
288393,14/09/2022,8:51,34,38,100,74
345789,30/09/2022,9:17,99,63,76,96
123421,5/10/2022,12:48,100,43,84,16
288393,4/11/2022,14:51,63,73,44,4
345789,23/11/2022,17:34,280,28,45,50
123421,10/12/2022,8:23,780,69,36,93
345789,24/12/2022,21:44,6,9,89,75
123421,27/12/2022,19:41,88,32,77,56
239010,28/12/2022,14:27,78,21,59,37
678901,29/12/2022,19:21,90,96,25,1
123421,2/1/2022,15:01,6,36,22,69
288393,11/1/2022,17:56,3,46,15,80
345789,22/01/2022,11:13,12,87,70,7
678901,31/01/2022,20:09,34,51,10,12
288393,13/02/2022,10:50,77,7,72,18
345789,29/04/2022,18:18,99,61,99,22
123421,2/5/2022,19:46,19,41,98,57
288393,7/5/2022,19:50,90,4,19,46
345789,8/6/2022,15:56,78,35,20,63
123421,30/06/2022,9:12,88,67,48,2
239010,18/07/2022,16:40,780,70,55,23
678901,24/07/2022,16:51,34,88,66,17
288393,23/08/2022,20:24,99,23,69,71
345789,24/08/2022,12:44,100,90,30,15
123421,17/09/2022,10:26,34,52,54,90
288393,25/09/2022,14:13,99,60,56,58
345789,12/10/2022,15:37,100,5,94,54
123421,29/10/2022,13:36,76,76,97,24
288393,6/11/2022,11:15,280,71,43,91
345789,8/11/2022,19:20,780,85,61,51
123421,15/11/2022,10:54,66,27,67,99
345789,3/12/2022,9:48,280,10,21,48
123421,10/12/2022,16:07,780,12,85,60
